key,en,de,es,it,ru,ko,jp
TUTORIAL,Tutorial,Tutorial,Tutorial,Tutorial,Обучение,튜토리얼,Tutorial
TUT_TASK_MOVE,Move with {move_keys},Bewege dich mit {move_keys},Muevete con {move_keys},Muoviti con {move_keys},Перемещайтесь с помощью {move_keys},{move_keys} 키로 이동,Move with {move_keys}
TUT_TASK_TAKE_BOX,Pickup the box with {grab_key},Nimm die Kiste mit {grab_key},Recoje la caja con {grab_key},Raccogli la scatola con {grab_key},Возьмите коробку с помощью {grab_key},{grab_key} 키로 상자 들기,Pickup the box with {grab_key}
TUT_TASK_ROT_BOX,Rotate the box with {rotate_key},Drehe die Kiste mit {rotate_key},Gira la caja con {rotate_key},Ruota la scatola con {rotate_keys},Поворачивайте коробку с помощью {rotate_keys},{rotate_key} 키로 상자 돌리기,Rotate the box with {rotate_key}
TUT_TASK_DROP_BOX,Carry the box into the truck and drop it using {grab_key},Trage die Kiste in den LKW und lege sie mit {grab_key} ab,Carga la caja al camión y suéltala usando {grab_key},Trasporta la scatola sul camion e lasciala con {grab_key},Перенесите коробку в грузовик и оставьте ее там с помощью {interact_key},상자를 트럭까지 가져가 {grab_key}키로 놓기,Carry the box into the truck and drop it using {grab_key}
TUT_TASK_CLOSE_TRUCK,Get out of the truck and close it using {interact_key},Verlasse den LKW und schließe ihn mit {interact_key},Sal del camión y cierralo usando {interact_key},Esci dal camion e chiudilo con {interact_key},Выйдите из грузовика и закройте его с помощью {interact_key},트럭에서 나와 {interact_key} 키로 닫기,Get out of the truck and close it using {interact_key}
TUT_TASK_LEAVE,Leave the building,Verlasse das Gebäude,Sal del edificio,Lascia l'edificio,Покиньте здание,건물 떠나기,Leave the building
TUT_INFO_FIRST_BOX,Looks like we've got our first box of the day!,"Sieht so aus, als hätten wir unsere erste Kiste des Tages!",Parece que tenemos nuestra primera caja del día!,Sembra che abbiamo ricevuto la prima scatola del giorno!,"Похоже, ",Looks like we've got our first box of the day!,Looks like we've got our first box of the day!
TUT_INFO_SORT,We need to sort everything and load it into the correct truck.,Wir müssen alles sortieren und in den richtigen LKW laden.,Necesitamos organizar todo y cargarlo en el camión correcto.,Dobbiamo sistemare tutto e caricarlo sul camion corretto,Нам нужно все отсортировать и загрузить нужный грузовик,We need to sort everything and load it into the correct truck.,We need to sort everything and load it into the correct truck.
TUT_INFO_GG,Absolutely phenomenal work! You crushed it!\n**thumbs up** **creepy smile lingers just a bit too long**,Absolut phänomenale Arbeit! Du hast es gerockt!\n**Daumen hoch** **grusliges Grinsen (hält etwas zu lange an)**,Trabajo fenomenal! Lo lograste!\n**thumbs up** **la sonrisa horripilante persiste demasiado tiempo**,Un lavoro assolutamente fenomenale! Hai fatto centro! **Pollice in su** **Il sorriso dura un pò troppo a lungo: un pò inquietante**,,Absolutely phenomenal work! You crushed it!\n**thumbs up** **creepy smile lingers just a bit too long**,Absolutely phenomenal work! You crushed it!\n**thumbs up** **creepy smile lingers just a bit too long**
TUT_INFO_END,"Best employee yet. Let’s call this training done.\nSee you tomorrow for your first shift. It will be just as easy as today.\n**deadpan stare, unblinking**",Bester Mitarbeiter bisher. Lass uns das Training für beendet erklären.\nWir sehen uns morgen zu deiner ersten Schicht. Es wird genauso einfach wie heute.\n**leerer Blick**,"El mejor trabajador hasta ahora. Vamos a dejar el entrenamiento ahí.\nTe veo mañana en tu primer turno. Va a hacer fácil igual que hoy.\n**mirada inexpresiva, sin pestañear**","Il miglior dipendente della storia! Direi che la tua formazione è completata. Ci vediamo domani per il tuo primo turno.sarà facile come oggi. **Sguardo impassibile, senza batter ciglio"".",,"Best employee yet. Let’s call this training done.\nSee you tomorrow for your first shift. It will be just as easy as today.\n**deadpan stare, unblinking**","Best employee yet. Let’s call this training done.\nSee you tomorrow for your first shift. It will be just as easy as today.\n**deadpan stare, unblinking**"
JOY_AXIS_LEFT,Left Stick,,Stick Izquierdo,Levetta sinistra,,Left Stick,Left Stick
JOY_AXIS_RIGHT,Right Stick,,Stick Derecho,Levetta destra,,Right Stick,Right Stick
AXIS,Axis,,Eje,Asse,,Axis,Axis
JOY_AXIS_TRIGGER_LEFT,Left Trigger,,Gatillo Izquierdo,Grilletto sinistro,,Left Trigger,Left Trigger
JOY_AXIS_TRIGGER_RIGHT,Right Trigger,,Gatillo Derecho,Grilletto destro,,Right Trigger,Right Trigger
BUTTON,Button,,Botón,Tasto,Кнопка,Button,Button
MOUSE_BUTTON_LEFT,Left Mouse Button,,Botón del Mouse Izquierdo,Tasto sinistro del mouse,Левая кнопка мыши,Left Mouse Button,Left Mouse Button
